주성분코드_9,ATC코드,주성분명,주성분코드_5
193201ACR,N06BA04,methylphenidate,1932A
193201ATB,N06BA04,methylphenidate,1932A
193202ACR,N06BA04,methylphenidate,1932A
193202ATB,N06BA04,methylphenidate,1932A
193203ATR,N06BA04,methylphenidate,1932A
193204ATR,N06BA04,methylphenidate,1932A
193205ACR,N06BA04,methylphenidate,1932A
193206ATR,N06BA04,methylphenidate,1932A
193207ACR,N06BA04,methylphenidate,1932A
193208ACR,N06BA04,methylphenidate,1932A
193209ATR,N06BA04,methylphenidate,1932A
107501ATB,N06AA09,amitriptyline,1075A
107502ATB,N06AA09,amitriptyline,1075A
107504ATB,N06AA09,amitriptyline,1075A
136301ACH,N06AA04,clomipramine,1363A
136302ACH,N06AA04,clomipramine,1363A
161501ACH,N06AB03,fluoxetine,1615A
161501ATB,N06AB03,fluoxetine,1615A
161502ACH,N06AB03,fluoxetine,1615A
161502ATB,N06AB03,fluoxetine,1615A
161502ATD,N06AB03,fluoxetine,1615A
173701ATB,N06AA02,imipramine,1737A
196201ATB,N06AX11,mirtazapine,1962A
196201ATD,N06AX11,mirtazapine,1962A
196202ATB,N06AX11,mirtazapine,1962A
196202ATD,N06AX11,mirtazapine,1962A
196203ATB,N06AX11,mirtazapine,1962A
196204ATB,N06AX11,mirtazapine,1962A
196204ATD,N06AX11,mirtazapine,1962A
203401ATB,N06AA10,nortriptyline,2034A
203402ATB,N06AA10,nortriptyline,2034A
209301ATB,N06AB05,paroxetine,2093A
209302ATB,N06AB05,paroxetine,2093A
209304ATR,N06AB05,paroxetine,2093A
209305ATR,N06AB05,paroxetine,2093A
227001ATB,N06AB06,sertraline,2270A
227002ATB,N06AB06,sertraline,2270A
227003ATB,N06AB06,sertraline,2270A
242901ACH,N06AX05,trazodone,2429A
242901ATB,N06AX05,trazodone,2429A
242902ATB,N06AX05,trazodone,2429A
242903ATR,N06AX05,trazodone,2429A
247502ACR,N06AX16,venlafaxine,2475A
247504ACR,N06AX16,venlafaxine,2475A
428101ATB,N06AX12,bupropion,4281A
428102ATR,N06AX12,bupropion,4281A
428103ATR,N06AX12,bupropion,4281A
474801ATB,N06AB10,escitalopram,4748A
474801ATD,N06AB10,escitalopram,4748A
474802ATB,N06AB10,escitalopram,4748A
474802ATD,N06AB10,escitalopram,4748A
474803ATB,N06AB10,escitalopram,4748A
474803ATD,N06AB10,escitalopram,4748A
474804ATB,N06AB10,escitalopram,4748A
495501ACE,N06AX21,duloxetine,4955A
495502ACE,N06AX21,duloxetine,4955A
613101ATB,N06AX22,agomelatine,6131A
626401ATR,N06AX23,desvenlafaxine,6264A
626402ATR,N06AX23,desvenlafaxine,6264A
687601ATR,N06AX23,desvenlafaxine,6876A
687602ATR,N06AX23,desvenlafaxine,6876A
687701ATR,N06AX23,desvenlafaxine,6877A
687702ATR,N06AX23,desvenlafaxine,6877A
687703ATR,N06AX23,desvenlafaxine,6877A
226401ATB,N04BD01,selegiline,2264A
179531BIJ,N01AX03,ketamine,1795B
179530BIJ,N01AX03,ketamine,1795B
179532BIJ,N01AX03,ketamine,1795B
179533BIJ,N01AX03,ketamine,1795B
495501ATE,N06AX21,duloxetine,4955A
495502ATE,N06AX21,duloxetine,4955A
149203ATB,N06AA12,doxepin,1492A
149204ATB,N06AA12,doxepin,1492A
193201ATR,N06BA04,methylphenidate,1932A
193205ATR,N06BA04,methylphenidate,1932A
193207ATR,N06BA04,methylphenidate,1932A
193210ATR,N06BA04,methylphenidate,1932A
193211ATR,N06BA04,methylphenidate,1932A
108001ATB,N06AA17,amoxapine,1080A
108002ATB,N06AA17,amoxapine,1080A
162501ATB,N06AB08,fluvoxamine,1625A
162502ATB,N06AB08,fluvoxamine,1625A
209306ATR,N06AB05,paroxetine,2093A
247502ATR,N06AX16,venlafaxine,2475A
247504ATR,N06AX16,venlafaxine,2475A
428301ATB,N06AB04,citalopram,4283A
521101ATD,N06AB10,escitalopram,5211A
521102ATD,N06AB10,escitalopram,5211A
