주성분코드_9,ATC코드,주성분명,주성분코드_5
130830ASY,N05CC01,chloral hydrate,1308A
130832ASY,N05CC01,chloral hydrate,1308A
130833ASY,N05CC01,chloral hydrate,1308A
149203ATB,N05CM,Other hypnotics and sedatives,1492A
149204ATB,N05CM,Other hypnotics and sedatives,1492A
160601ATB,N05CD03,flunitrazepam,1606A
161801ATB,N05CD01,flurazepam,1618A
211701ATB,N03AA02,phenobarbital,2117A
243501ATB,N05CD05,triazolam,2435A
243502ATB,N05CD05,triazolam,2435A
250501ATB,N05CF02,zolpidem,2505A
250502ATB,N05CF02,zolpidem,2505A
250503ATR,N05CF02,zolpidem,2505A
250504ATR,N05CF02,zolpidem,2505A
680401ATB,N05CF04,eszopiclone,6804A
680402ATB,N05CF04,eszopiclone,6804A
680403ATB,N05CF04,eszopiclone,6804A
717401ACH,N05CF03,zaleplon,7174A
717402ACH,N05CF03,zaleplon,7174A
123130ASY,N03AF01,carbamazepine,1231A
123102ATB,N03AF01,carbamazepine,1231A
123102ATR,N03AF01,carbamazepine,1231A
123104ATR,N03AF01,carbamazepine,1231A
136401ATB,N03AE01,clonazepam,1364A
146801ACH,N03AB02,phenytoin,1468A
146801ATB,N03AB02,phenytoin,1468A
147701ATR,N03AG01,valproic acid,1477A
147702ATR,N03AG01,valproic acid,1477A
147801ACH,N03AG01,valproic acid,1478A
155901ACS,N03AD01,ethosuximide,1559A
164201ACH,N02BF01,gabapentin,1642A
164202ACH,N02BF01,gabapentin,1642A
164203ACH,N02BF01,gabapentin,1642A
164204ATB,N02BF01,gabapentin,1642A
164205ATB,N02BF01,gabapentin,1642A
181001ATB,N03AX09,lamotrigine,1810A
181002ATB,N03AX09,lamotrigine,1810A
181003ATB,N03AX09,lamotrigine,1810A
181004ATB,N03AX09,lamotrigine,1810A
206330ASS,N03AF02,oxcarbazepine,2063A
206301ATB,N03AF02,oxcarbazepine,2063A
206302ATB,N03AF02,oxcarbazepine,2063A
206303ATB,N03AF02,oxcarbazepine,2063A
217801ATB,N03AA03,primidone,2178A
229734ASY,N03AG01,valproic acid,2297A
229701ATR,N03AG01,valproic acid,2297A
229703ATB,N03AG01,valproic acid,2297A
229705ATR,N03AG01,valproic acid,2297A
229706ATR,N03AG01,valproic acid,2297A
229707ATR,N03AG01,valproic acid,2297A
241801ACR,N03AX11,topiramate,2418A
241801ATB,N03AX11,topiramate,2418A
241802ACR,N03AX11,topiramate,2418A
241803ACH,N03AX11,topiramate,2418A
241803ACR,N03AX11,topiramate,2418A
241803ATB,N03AX11,topiramate,2418A
241804ACH,N03AX11,topiramate,2418A
241804ACR,N03AX11,topiramate,2418A
241804ATB,N03AX11,topiramate,2418A
246901ATE,N03AG01,valproic acid,2469A
246902ATE,N03AG01,valproic acid,2469A
246903ATE,N03AG01,valproic acid,2469A
247002ACS,N03AG01,valproic acid,2470A
247701ATB,N03AG04,vigabatrin,2477A
250601ATB,N03AX15,zonisamide,2506A
488530ALQ,N03AX14,levetiracetam,4885A
488536ALQ,N03AX14,levetiracetam,4885A
488501ATB,N03AX14,levetiracetam,4885A
488501ATR,N03AX14,levetiracetam,4885A
488502ATB,N03AX14,levetiracetam,4885A
488503ATB,N03AX14,levetiracetam,4885A
488505ATB,N03AX14,levetiracetam,4885A
488505ATR,N03AX14,levetiracetam,4885A
509101ACH,N03AX17,stiripentol,5091A
509401ATB,N03AF03,rufinamide,5094A
509402ATB,N03AF03,rufinamide,5094A
509403ATB,N03AF03,rufinamide,5094A
611702ATB,N03AX18,lacosamide,6117A
611703ATB,N03AX18,lacosamide,6117A
611704ATB,N03AX18,lacosamide,6117A
611705ATB,N03AX18,lacosamide,6117A
642407ASS,N03AX22,perampanel,6424A
642401ATB,N03AX22,perampanel,6424A
642402ATB,N03AX22,perampanel,6424A
642403ATB,N03AX22,perampanel,6424A
642404ATB,N03AX22,perampanel,6424A
642405ATB,N03AX22,perampanel,6424A
642406ATB,N03AX22,perampanel,6424A
700901ATB,N03AF04,eslicarbazepine,7009A
700902ATB,N03AF04,eslicarbazepine,7009A
