주성분코드_9,ATC코드,주성분명,주성분코드_5
100430BIJ,B01AC13,abciximab,1004B
100431BIJ,B01AC13,abciximab,1004B
111001ACE,B01AC06,acetylsalicylic acid,1110A
111001ATB,B01AC06,acetylsalicylic acid,1110A
111001ATE,B01AC06,acetylsalicylic acid,1110A
111002ATE,B01AC06,acetylsalicylic acid,1110A
111003ATE,B01AC06,acetylsalicylic acid,1110A
116201ATB,B01AC19,beraprost,1162A
116202ATB,B01AC19,beraprost,1162A
133201ACR,B01AC23,cilostazol,1332A
133201ATB,B01AC23,cilostazol,1332A
133201ATR,B01AC23,cilostazol,1332A
133202ATB,B01AC23,cilostazol,1332A
133203ACR,B01AC23,cilostazol,1332A
133203ATR,B01AC23,cilostazol,1332A
136901ATB,B01AC04,clopidogrel,1369A
136902ATB,B01AC04,clopidogrel,1369A
174701ATB,B01AC10,indobufen,1747A
184101ATB,B01AC28,limaprost,1841A
226101ATB,B01AC,Platelet aggregation inhibitors excl. heparin,2261A
226103ATR,B01AC,Platelet aggregation inhibitors excl. heparin,2261A
239201ATB,B01AC05,ticlopidine,2392A
239202ATB,B01AC05,ticlopidine,2392A
240230BIJ,B01AC17,tirofiban,2402B
244101ACH,B01AC18,triflusal,2441A
244101ATB,B01AC18,triflusal,2441A
244101ATE,B01AC18,triflusal,2441A
244102ACH,B01AC18,triflusal,2441A
359531BIJ,B01AC,Platelet aggregation inhibitors excl. heparin,3595B
359532BIJ,B01AC,Platelet aggregation inhibitors excl. heparin,3595B
471430CSI,B01AC11,iloprost,4714C
489700ACR,B01AC30,combinations,4897A
492501ATB,B01AC04,clopidogrel,4925A
495201ATB,B01AC04,clopidogrel,4952A
498801ATB,B01AC04,clopidogrel,4988A
498900ATB,B01AC30,combinations,4989A
501501ATB,B01AC04,clopidogrel,5015A
506100ATB,B01AC,Platelet aggregation inhibitors excl. heparin,5061A
512430BIJ,B01AC21,treprostinil,5124B
512431BIJ,B01AC21,treprostinil,5124B
512432BIJ,B01AC21,treprostinil,5124B
517900ACE,B01AC30,combinations,5179A
517900ATE,B01AC30,combinations,5179A
597301ATB,B01AC22,prasugrel,5973A
597302ATB,B01AC22,prasugrel,5973A
615901ATB,B01AC24,ticagrelor,6159A
615902ATB,B01AC24,ticagrelor,6159A
652301ATB,B01AC27,selexipag,6523A
652302ATB,B01AC27,selexipag,6523A
652303ATB,B01AC27,selexipag,6523A
652304ATB,B01AC27,selexipag,6523A
667500ACE,B01AC30,combinations,6675A
687200ATR,B01AC,Platelet aggregation inhibitors excl. heparin,6872A
728500ACE,B01AC56,"acetylsalicylic acid, combinations with proton pump inhibitors",7285A
249103ATB,B01AA03,warfarin,2491A
249105ATB,B01AA03,warfarin,2491A
109301BIJ,B01AB02,antithrombin III,1093B
140230BIJ,B01AB04,dalteparin,1402B
140231BIJ,B01AB04,dalteparin,1402B
140232BIJ,B01AB04,dalteparin,1402B
140233BIJ,B01AB04,dalteparin,1402B
140234BIJ,B01AB04,dalteparin,1402B
152130BIJ,B01AB05,enoxaparin,1521B
152131BIJ,B01AB05,enoxaparin,1521B
152132BIJ,B01AB05,enoxaparin,1521B
152133BIJ,B01AB05,enoxaparin,1521B
152134BIJ,B01AB05,enoxaparin,1521B
168630BIJ,B01AB01,heparin,1686B
168631BIJ,B01AB01,heparin,1686B
168632BIJ,B01AB01,heparin,1686B
168636BIJ,B01AB01,heparin,1686B
168637BIJ,B01AB01,heparin,1686B
168638BIJ,B01AB01,heparin,1686B
198430BIJ,B01AB06,nadroparin,1984B
198431BIJ,B01AB06,nadroparin,1984B
198432BIJ,B01AB06,nadroparin,1984B
233001ACS,B01AB,Heparin group,
233001ATB,B01AB,Heparin group,2330A
233303ACS,B01AB11,Sulodexide,2333A
233303ATB,B01AB11,sulodexide,2333A
465830BIJ,B01AB12,bemiparin,4658B
465831BIJ,B01AB12,bemiparin,4658B
359632BIJ,B01AE03,argatroban,3596B
359633BIJ,B01AE03,argatroban,3596B
613701ACH,B01AE07,dabigatran etexilate,6137A
613702ACH,B01AE07,dabigatran etexilate,6137A
511401ATB,B01AF01,rivaroxaban,5114A
511402ATB,B01AF01,rivaroxaban,5114A
511403ATB,B01AF01,rivaroxaban,5114A
511404ACH,B01AF01,rivaroxaban,5114A
511404ATB,B01AF01,rivaroxaban,5114A
617001ATB,B01AF02,apixaban,6170A
617002ATB,B01AF02,apixaban,6170A
643601ATB,B01AF03,edoxaban,6436A
643602ATB,B01AF03,edoxaban,6436A
643603ATB,B01AF03,edoxaban,6436A
