???????????????_9,ATC??????,????????????,???????????????_5,Use
122202BIJ,A12AA03,calcium gluconate,1222B,1
122202BIJ,B05XA19,calcium gluconate,1222B,0
131830BIJ,R06AB54,"chlorphenamine, combinations",1318B,0
131830BIJ,R06AB04,chlorphenamine,1318B,1
149203ATB,N06AA12,doxepin,1492A,1
149203ATB,N05CM,Other hypnotics and sedatives,1492A,0
149204ATB,N05CM,Other hypnotics and sedatives,1492A,0
149204ATB,N06AA12,doxepin,1492A,1
158333BIJ,N01AH01,fentanyl,1583B,0
158333BIJ,N02AB03,fentanyl,1583B,1
163130ASY,R03CC15,formoterol,1631A,0
163130ASY,R03CC,Selective beta-2-adrenoreceptor agonists,1631A,0
163130ASY,R03AC13,formoterol,1631A,1
163131ASY,R03CC15,formoterol,1631A,0
163131ASY,R03AC13,formoterol,1631A,1
164204ATB,N03AX12,gabapentin,1642A,0
164204ATB,N02BF01,gabapentin,1642A,1
164205ATB,N02BF01,gabapentin,1642A,1
164205ATB,N03AX12,gabapentin,1642A,0
170131BIJ,A10AB01,insulin (human),1701B,1
170131BIJ,A10AC01,insulin (human),1701B,0
171530BIJ,B03BA03,hydroxocobalamin,1715B,1
171530BIJ,N07XX,Other nervous system drugs,1715B,0
171531BIJ,B03BA03,hydroxocobalamin,1715B,1
171531BIJ,N07XX,Other nervous system drugs,1715B,0
175332BIJ,A10AD04,insulin lispro ,1753B,1
175332BIJ,A10AD04,insulin lispro,1753B,0
175333BIJ,A10AD04,insulin lispro,1753B,1
175333BIJ,A10AD04,insulin lispro ,1753B,0
177430BIJ,L01CE02,irinotecan,1774B,1
177430BIJ,L01XX19,irinotecan,1774B,0
177431BIJ,L01CE02,irinotecan,1774B,1
177431BIJ,L01XX19,irinotecan,1774B,0
184101ATB,C04AX,Other peripheral vasodilators,1841A,0
184101ATB,B01AC28,limaprost,1841A,1
205303ATB,N04AB02,orphenadrine (chloride),2053A,1
205303ATB,M03BC01,orphenadrine (citrate),2053A,0
208131AGN,J04AA01,4-aminosalicylic acid,2081A,1
208131AGN,J04AA03,calcium aminosalicylate,2081A,0
214031BIJ,M01AC01,piroxicam,2140B,1
214031BIJ,M02AA07,piroxicam,2140B,0
222901ATB,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),2229A,0
222901ATB,A02BX14,rebamipide,2229A,1
228503BIS,B05Z,HEMODIALYTICS AND HEMOFILTRATES,2285B,0
228503BIS,B05ZA,"Hemodialytics, concentrates",2285B,1
228505BIS,B05ZA,"Hemodialytics, concentrates",2285B,1
228505BIS,B05Z,HEMODIALYTICS AND HEMOFILTRATES,2285B,0
228506BIS,B05ZA,"Hemodialytics, concentrates",2285B,1
228506BIS,B05Z,HEMODIALYTICS AND HEMOFILTRATES,2285B,0
228515BIS,B05Z,HEMODIALYTICS AND HEMOFILTRATES,2285B,0
228515BIS,B05ZA,"Hemodialytics, concentrates",2285B,1
228526BIS,B05ZA,"Hemodialytics, concentrates",2285B,1
228526BIS,B05Z,HEMODIALYTICS AND HEMOFILTRATES,2285B,0
228531BIS,B05Z,HEMODIALYTICS AND HEMOFILTRATES,2285B,0
228531BIS,B05ZA,"Hemodialytics, concentrates",2285B,1
264800ATB,R03CC63,clenbuterol and ambroxol,2648A,1
264800ATB,R05CB10,combinations,2648A,0
