주성분코드,ATC코드,주성분명
130830ASY,N05CC01,chloral hydrate
130832ASY,N05CC01,chloral hydrate
130833ASY,N05CC01,chloral hydrate
149203ATB,N05CM,Other hypnotics and sedatives
149204ATB,N05CM,Other hypnotics and sedatives
160601ATB,N05CD03,flunitrazepam
161801ATB,N05CD01,flurazepam
211701ATB,N03AA02,phenobarbital
243501ATB,N05CD05,triazolam
243502ATB,N05CD05,triazolam
250501ATB,N05CF02,zolpidem
250502ATB,N05CF02,zolpidem
250503ATR,N05CF02,zolpidem
250504ATR,N05CF02,zolpidem
680401ATB,N05CF04,eszopiclone
680402ATB,N05CF04,eszopiclone
680403ATB,N05CF04,eszopiclone
717401ACH,N05CF03,zaleplon
717402ACH,N05CF03,zaleplon
123130ASY,N03AF01,carbamazepine
123102ATB,N03AF01,carbamazepine
123102ATR,N03AF01,carbamazepine
123104ATR,N03AF01,carbamazepine
136401ATB,N03AE01,clonazepam
146801ACH,N03AB02,phenytoin
146801ATB,N03AB02,phenytoin
147701ATR,N03AG01,valproic acid
147702ATR,N03AG01,valproic acid
147801ACH,N03AG01,valproic acid
155901ACS,N03AD01,ethosuximide
164201ACH,N02BF01,gabapentin
164202ACH,N02BF01,gabapentin
164203ACH,N02BF01,gabapentin
164204ATB,N02BF01,gabapentin
164205ATB,N02BF01,gabapentin
181001ATB,N03AX09,lamotrigine
181002ATB,N03AX09,lamotrigine
181003ATB,N03AX09,lamotrigine
181004ATB,N03AX09,lamotrigine
206330ASS,N03AF02,oxcarbazepine
206301ATB,N03AF02,oxcarbazepine
206302ATB,N03AF02,oxcarbazepine
206303ATB,N03AF02,oxcarbazepine
217801ATB,N03AA03,primidone
229734ASY,N03AG01,valproic acid
229701ATR,N03AG01,valproic acid
229703ATB,N03AG01,valproic acid
229705ATR,N03AG01,valproic acid
229706ATR,N03AG01,valproic acid
229707ATR,N03AG01,valproic acid
241801ACR,N03AX11,topiramate
241801ATB,N03AX11,topiramate
241802ACR,N03AX11,topiramate
241803ACH,N03AX11,topiramate
241803ACR,N03AX11,topiramate
241803ATB,N03AX11,topiramate
241804ACH,N03AX11,topiramate
241804ACR,N03AX11,topiramate
241804ATB,N03AX11,topiramate
246901ATE,N03AG01,valproic acid
246902ATE,N03AG01,valproic acid
246903ATE,N03AG01,valproic acid
247002ACS,N03AG01,valproic acid
247701ATB,N03AG04,vigabatrin
250601ATB,N03AX15,zonisamide
488530ALQ,N03AX14,levetiracetam
488536ALQ,N03AX14,levetiracetam
488501ATB,N03AX14,levetiracetam
488501ATR,N03AX14,levetiracetam
488502ATB,N03AX14,levetiracetam
488503ATB,N03AX14,levetiracetam
488505ATB,N03AX14,levetiracetam
488505ATR,N03AX14,levetiracetam
509101ACH,N03AX17,stiripentol
509401ATB,N03AF03,rufinamide
509402ATB,N03AF03,rufinamide
509403ATB,N03AF03,rufinamide
611702ATB,N03AX18,lacosamide
611703ATB,N03AX18,lacosamide
611704ATB,N03AX18,lacosamide
611705ATB,N03AX18,lacosamide
642407ASS,N03AX22,perampanel
642401ATB,N03AX22,perampanel
642402ATB,N03AX22,perampanel
642403ATB,N03AX22,perampanel
642404ATB,N03AX22,perampanel
642405ATB,N03AX22,perampanel
642406ATB,N03AX22,perampanel
700901ATB,N03AF04,eslicarbazepine
700902ATB,N03AF04,eslicarbazepine
100901ACH,M01AB16,aceclofenac
100901ACS,M01AB16,aceclofenac
100901ATB,M01AB16,aceclofenac
100903ATR,M01AB16,aceclofenac
101332ASY,N02BE01,paracetamol
101330ASS,N02BE01,paracetamol
101303ATB,N02BE01,paracetamol
101305ATB,N02BE01,paracetamol
101401ATB,N02BE01,paracetamol
101404ATB,N02BE01,paracetamol
101404ATR,N02BE01,paracetamol
101406ATB,N02BE01,paracetamol
101430ATR,N02BE01,paracetamol
110702ATB,N02BA01,acetylsalicylic acid
142331ASY,M01AE14,dexibuprofen
142332ASY,M01AE14,dexibuprofen
142333ASY,M01AE14,dexibuprofen
142334ASY,M01AE14,dexibuprofen
142336ASY,M01AE14,dexibuprofen
142337ASY,M01AE14,dexibuprofen
142301ACS,M01AE14,dexibuprofen
142301ATB,M01AE14,dexibuprofen
142301ATR,M01AE14,dexibuprofen
142302ATB,M01AE14,dexibuprofen
142303ATB,M01AE14,dexibuprofen
143504ATB,M01AB05,diclofenac
143506ATB,M01AB05,diclofenac
156602ACH,M01AB08,etodolac
156602ATB,M01AB08,etodolac
156603ATB,M01AB08,etodolac
156603ATR,M01AB08,etodolac
156604ATR,M01AB08,etodolac
172833ASY,M01AE01,ibuprofen
172834ASY,M01AE01,ibuprofen
172835ASY,M01AE01,ibuprofen
172836ASY,M01AE01,ibuprofen
172837ASY,M01AE01,ibuprofen
172838ASY,M01AE01,ibuprofen
172802ACS,M01AE01,ibuprofen
172802ATB,M01AE01,ibuprofen
172806ATB,M01AE01,ibuprofen
